Activator	YCL066W; YCR040W; YCR081W; YCR093W; YFL049W; YFL031W; YFR034C; YLR014C; YLR071C; YLR085C; YLR098C; YLR113W; YLR131C; YLR182W; YLR228C; YLR256W; YLR266C; YLR385C; YLR418C; YLR445W; YLR451W; YAL021C; YAL011W; YDL170W; YDL165W; YDL069C; YDL056W; YDL020C; YDL005C; YDR034C; YDR073W; YDR096W; YDR123C; YDR146C; YDR190C; YDR197W; YDR207C; YDR213W; YDR216W; YDR259C; YDR308C; YDR334W; YDR359C; YDR392W; YDR397C; YDR423C; YDR443C; YDR520C; YBL093C; YBL021C; YBL005W; YBR081C; YBR083W; YBR193C; YBR231C; YBR240C; YBR253W; YBR279W; YBR289W; YBR297W; YGL244W; YGL237C; YGL207W; YGL195W; YGL194C; YGL166W; YGL151W; YGL150C; YGL127C; YGL073W; YGL071W; YGL025C; YGL013C; YGR002C; YGR044C; YGR104C; YGR134W; YGR222W; YGR246C; YGR252W; YGR262C; YGR288W; YJL184W; YJL176C; YJL081C; YJR094C; YKL112W; YKL109W; YKL062W; YKL032C; YKL015W; YKR026C; YKR029C; YKR038C; YKR099W; YOL135C; YOL145C; YOL116W; YOL108C; YOL051W; YOL028C; YOL012C; YOL004W; YOR028C; YOR047C; YOR066W; YOR123C; YOR162C; YOR166C; YOR172W; YOR174W; YOR191W; YOR244W; YOR290C; YOR337W; YOR344C; YOR358W; YOR363C; YOR372C; YIL122W; YIL038C; YIR017C; YIR018W; YIR023W; YML099C; YML036W; YML007W; YMR021C; YMR030W; YMR037C; YMR043W; YMR070W; YMR112C; YMR164C; YMR172W; YMR257C; YMR280C; YNL314W; YNL288W; YNL278W; YNL236W; YNL216W; YNL199C; YNL107W; YNL039W; YNL025C; YNR010W; YNR023W; YNR045W; YNR052C; YPL248C; YPL235W; YPL202C; YPL075W; YPL055C; YPL047W; YPL042C; YPL016W; YPR008W; YPR070W; YPR072W; YPR168W; YPR199C; YHL027W; YHL025W; YHL009C; YHR041C; YHR058C; YHR084W; YHR099W; YHR157W; YEL009C; YER022W; YER040W; YER068W; YER109C; YER153C; YER159C; YER161C; YBR111W-A; YKR095W-A
Acyltransferase	YCR048W; YFL017C; YFR018C; YFR027W; YLL063C; YLR099C; YLR195C; YLR239C; YLR246W; YLR299W; YAR035W; YDL052C; YDR018C; YDR062W; YDR071C; YDR125C; YDR126W; YDR148C; YDR232W; YDR264C; YDR459C; YBL052C; YBL011W; YBR042C; YBR177C; YGL232W; YGL017W; YGR147C; YGR177C; YGR212W; YGR252W; YGR274C; YJL218W; YJL091C; YJL071W; YKR067W; YOL003C; YOR034C; YOR175C; YOR221C; YOR245C; YOR253W; YOR377W; YIL160C; YML042W; YMR062C; YMR069W; YMR127C; YMR296C; YNL326C; YNL277W; YNL071W; YNR008W; YNR019W; YPL095C; YPL086C; YPL028W; YPL001W; YPR051W; YPR131C; YPR140W; YPR193C; YHR013C; YEL066W; YEL056W; YER024W
Allosteric enzyme	YFR015C; YFR053C; YLR044C; YLR134W; YLR258W; YLR377C; YAL038W; YGL253W; YGR240C; YGR267C; YOR136W; YIL066C; YMR205C; YNL037C; YPR060C; YHR144C; YER070W; YER086W
Alternative initiation	YDL164C; YDR120C; YGR094W; YJL210W; YOR274W; YIL162W; YML061C; YML042W; YML032C; YNL239W; YNL104C; YPR033C; YPR041W; YHL025W; YER168C
Alternative splicing	YFL031W
Amino-acid biosynthesis	YCL030C; YCL018W; YCL009C; YCR053W; YCR054C; YFR025C; YFR030W; YFR055W; YLL062C; YLL058W; YLR303W; YLR355C; YLR451W; YAL012W; YDL182W; YDL171C; YDL131W; YDR007W; YDR034C; YDR035W; YDR127W; YDR158W; YDR234W; YDR283C; YDR300C; YDR354W; YBR084W; YBR115C; YBR166C; YBR213W; YBR248C; YBR249C; YGL184C; YGL148W; YGL026C; YGL009C; YGR012W; YGR124W; YGR155W; YGR204W; YGR208W; YJL088W; YJL071W; YJR010W; YJR016C; YJR109C; YJR130C; YJR137C; YJR139C; YJR148W; YKL211C; YKL001C; YKR069W; YOL140W; YOL058W; YOR108W; YOR130C; YOR184W; YOR202W; YOR303W; YOR323C; YIL116W; YIL094C; YIL074C; YIL046W; YIL020C; YIR017C; YIR034C; YML096W; YML082W; YMR009W; YMR062C; YMR108W; YNL316C; YNL277W; YNL104C; YNR050C; YPL273W; YPR060C; YPR118W; YPR145W; YPR167C; YHR018C; YHR025W; YHR033W; YHR208W; YEL038W; YEL009C; YER023W; YER052C; YER055C; YER069W; YER081W; YER086W; YER090W; YER091C
Amino-acid transport	YCL069W; YCL025C; YFL055W; YLL061W; YDR046C; YDR119W; YDR508C; YBL089W; YBR068C; YBR069C; YBR132C; YBR293W; YGL077C; YGR055W; YGR191W; YJL059W; YJR001W; YKL176C; YKL146W; YKR039W; YKR105C; YOL020W; YOR348C; YIL088C; YMR088C; YNL270C; YNL268W; YNL101W; YPL274W; YPL265W; YPR021C; YHL036W; YEL064C; YEL063C; YER119C
Aminoacyl-tRNA synthetase	YCR024C; YFL022C; YLL018C; YLR060W; YLR382C; YDR023W; YDR037W; YDR268W; YDR283C; YDR341C; YBL076C; YBR121C; YGL245W; YGR094W; YGR171C; YGR185C; YGR264C; YKL194C; YOL097C; YOL033W; YOR168W; YOR335C; YIL078W; YNL247W; YNL073W; YPL160W; YPL104W; YPL097W; YPL040C; YPR033C; YPR047W; YPR081C; YHR011W; YHR019C; YHR020W; YHR091C; YER087W
Aminopeptidase	YLL029W; YLR244C; YDR415C; YBL091C; YBR286W; YJR126C; YKL157W; YKL103C; YOL057W; YOR219C; YIL137C; YHR028C; YHR047C; YHR113W
Aminotransferase	YFL030W; YLR027C; YLR089C; YLR438W; YDR019C; YDR111C; YGL202W; YGR019W; YJL060W; YJR148W; YKL106W; YKL104C; YOL140W; YOR184W; YIL116W; YMR084W; YNR058W; YHR137W; YHR208W
Ammonia transport	YCR010C; YDR384C; YGR121C; YNL142W; YNR002C; YPR138C
Anion exchange	YNL275W
Antibiotic resistance	YFL037W; YGL103W; YJL128C; YOR153W; YOR266W; YNL162W; YHR141C
Antioxidant	YLR109W; YDR453C; YBL064C; YJR104C; YKL086W; YIL010W; YML028W
Antiport	YLL028W; YLR138W; YLR348C; YDR456W; YGR138C; YJL094C; YOR273C; YPR156C
Antiviral defense	YLR398C; YGL213C; YGR271W; YPR189W
Apoptosis	YDR326C; YOR197W; YIL065C; YNL123W; YNR074C
Arginine biosynthesis	YJL088W; YJR109C; YOL140W; YOL058W; YOR130C; YOR303W; YMR062C; YHR018C; YER069W
Arginine metabolism	YDR173C; YBR208C; YML099C; YMR042W; YPL111W
Aromatic amino acid biosynthesis	YDR007W; YDR035W; YDR127W; YDR354W; YBR166C; YBR249C; YGL148W; YGL026C; YKL211C; YNL316C; YPR060C; YER090W
Arsenical resistance	YDL100C; YPR199C; YPR200C; YPR201W
Asparagine biosynthesis	YGR124W; YML096W; YPR145W
Aspartic protease inhibitor	YMR174C
Aspartyl protease	YCL019W; YFL002W-A; YLR120C; YLR121C; YLR157C-B; YLR227W-B; YLR410W-B; YAR009C; YDR034C-D; YDR098C-B; YDR144C; YDR210W-B; YDR210C-D; YDR261W-B; YDR261C-D; YDR316W-B; YDR365W-B; YBL100W-B; YBL005W-B; YBR012W-B; YGR027W-B; YGR038C-B; YGR161W-B; YGR161C-D; YJR029W; YOL103W-B; YOR142W-B; YOR192C-B; YIL015W; YIR039C; YML045W; YML039W; YMR045C; YMR050C; YNL284C-B; YPL257W-B; YPL154C; YPR137C-B; YPR158W-B; YPR158C-D; YHL009W-B; YHR214C-B; YER138C; YER160C
Autocatalytic cleavage	YLR120C; YDL185W; YGL092W; YOL052C
Autophagy	YCL038C; YCR068W; YFR021W; YLL042C; YLR189C; YLR423C; YLR431C; YDL149W; YDR022C; YBL078C; YBR077C; YBR128C; YBR131W; YBR217W; YGL180W; YGL124C; YGR163W; YJL178C; YKR007W; YKR042W; YOL082W; YOR106W; YMR159C; YNL242W; YNL223W; YNR007C; YPL166W; YPL149W; YPL120W; YPL100W; YPL085W; YPR049C; YPR185W; YHR171W; YHR195W
Biotin	YBR208C; YBR218C; YGL062W; YGR065C; YNR016C
Biotin biosynthesis	YGR286C; YNR057C; YNR058W
