10	1
1000	1
10003	1
10004	1
100049587	1
10008	1
1001	1
10017	1
1002	1
10021	2
10026	2
1003	2
10039	1
1004	1
1005	1
10050	10
10052	4
10057	11
10058	9
1006	1
10060	14
10063	2
10066	4
10067	4
1007	1
10071	1
10076	2
10077	4
10079	10
1008	1
10083	1
10089	6
1009	2
10090	1
10098	4
10099	4
101	1
1010	1
10100	4
10103	4
10113	2
1013	1
10134	3
1014	1
10143	1
10149	7
1015	1
10154	2
10158	1
10159	1
1016	1
10161	7
10162	7
10164	1
10175	3
10178	1
10184	4
10186	4
10195	7
102	1
10203	8
10205	2
10206	1
10218	1
10219	1
10223	1
10225	1
10227	10
10228	1
10231	1
10232	1
10237	8
10242	2
10245	1
10246	10
10257	11
10261	2
10266	1
10267	1
10268	1
10269	7
10279	1
10280	2
10282	1
10288	1
10299	14
10312	8
10313	3
10316	7
10317	1
10326	1
10329	1
10331	1
10332	1
10333	2
10335	1
10336	1
10343	13
10345	1
10347	11
10349	14
10350	14
10351	13
10368	4
10369	4
10381	5
10384	1
10385	3
10390	8
103910	1
10396	8
10397	1
1040	7
10400	4
10402	1
10406	1
1041	1
10410	2
10423	4
10424	1
1043	2
10430	6
10431	3
10437	1
10440	1
10446	1
10447	1
10457	1
10461	1
10462	1
10463	5
1047	1
10478	5
10479	12
10490	1
10491	1
10501	1
10505	1
10507	2
10509	1
10522	1
10525	1
10537	4
10544	1
10548	9
10549	1
10550	3
10553	1
10554	3
10555	4
10558	2
10559	8
10560	12
10565	1
10567	2
10568	11
10581	2
10585	12
10588	1
10599	11
10610	1
10611	1
10613	1
10618	1
10630	1
10635	1
10653	1
10655	1
10663	7
10665	1
10666	1
10668	1
10673	1
10675	1
10678	1
10682	5
10683	1
10686	4
10690	1
10692	7
10695	1
10699	1
107	9
10712	4
10715	5
10718	2
10720	1
10723	11
10726	1
10730	1
10745	7
10748	1
10752	1
10771	1
10786	11
10791	1
10798	7
108	12
1080	11
10800	7
10803	7
10804	4
10814	1
10820	2
10826	4
1084	1
10857	1
10859	1
10861	9
10863	1
10864	6
10867	4
10869	1
10870	1
10871	2
10874	1
10876	1
10886	7
10887	7
10888	7
1089	1
10893	1
10894	1
10896	1
10897	5
10899	1
109	12
10904	2
10905	1
10908	1
10913	1
10917	1
10936	7
10939	2
10941	1
10945	4
10948	4
10952	1
10955	11
10956	1
10957	1
10959	2
10960	1
10961	1
10970	1
10972	2
10975	1
10990	1
10991	10
10994	1
10998	1
10999	2
11001	3
11006	1
11010	1
11014	4
11015	5
11016	1
11018	1
11022	1
11025	1
11041	1
11045	4
11046	8
11055	1
11061	1
11068	6
11070	6
11079	3
11085	1
11086	1
11093	1
11094	3
111	11
11118	1
11119	1
11120	2
11122	1
11124	1
11136	12
11141	1
11145	1
11148	2
11149	3
11153	1
11160	1
11161	4
1118	1
11180	1
11182	12
11188	1
11194	4
112	12
11202	1
11211	7
11226	1
11227	1
11230	4
11231	3
11236	12
11237	1
11245	7
112476	2
11250	7
11251	7
11253	1
11254	12
11255	7
112609	1
112616	4
11270	4
112755	1
11276	2
11277	1
112770	2
1128	7
11280	22
112817	1
11282	1
11283	1
11285	1
1129	7
113	12
11309	11
113091	1
1131	7
11314	2
113177	1
113178	4
11318	7
1132	7
11320	1
113201	1
11322	10
113235	11
11326	1
113277	1
113278	11
1133	7
1134	4
113402	4
11341	1
113419	4
11342	1
11344	1
113452	4
1135	4
113540	4
1136	4
113612	2
113655	4
113675	1
1137	4
113791	1
1138	4
113829	9
1139	5
114	9
1140	4
1141	4
114132	1
114134	12
1142	4
114224	2
1143	4
1144	4
1145	4
114569	4
114571	12
1146	4
114625	2
114659	1
114780	11
114783	2
114784	1
114786	10
114788	2
114794	1
114795	1
114798	1
114801	2
114805	1
114814	7
114815	1
114836	1
114882	1
114897	1
114904	1
114908	2
114915	1
114926	1
114990	1
115	8
115019	9
115111	10
115123	2
115209	1
115286	3
115330	5
115350	1
115352	1
115584	14
115650	1
115653	1
116068	1
116085	9
116135	1
116151	3
116159	1
116173	4
116211	4
116236	1
116238	5
116254	1
116255	1
116285	1
116337	2
116369	11
116372	1
116441	4
116443	4
116444	4
116511	7
116512	7
116534	7
116843	12
117	7
117144	5
117155	6
117194	7
117195	7
117196	7
117247	12
117248	1
117531	6
117532	9
1180	11
1181	12
1182	11
1183	11
1184	9
118424	1
118429	1
118442	5
1185	9
1186	11
118670	1
1187	10
1188	10
118813	3
118881	1
118932	1
118980	5
118987	1
119395	3
119437	1
119467	4
119559	4
119587	1
119678	7
119679	7
119682	7
119687	7
119692	7
119694	8
119695	7
119749	6
119764	8
119765	7
119772	7
119774	7
120065	7
120066	7
120071	1
1201	11
120103	10
120114	1
120224	5
