9487	Transmembrane
27202	Transmembrane
20866	Transmembrane
117540	Transmembrane
2528	Transmembrane
10331	Transmembrane
53328	Transmembrane
3903	Transmembrane
83627	Transmembrane
51554	Transmembrane
115286	Transmembrane
253017	Transmembrane
29693	Transmembrane
209512	Transmembrane
13607	Transmembrane
81442	Transmembrane
12788	Transmembrane
79147	Transmembrane
1004	Transmembrane
233979	Transmembrane
364	Transmembrane
219957	Transmembrane
2912	Transmembrane
57864	Transmembrane
170824	Transmembrane
71461	Transmembrane
8509	Transmembrane
58949	Transmembrane
14400	Transmembrane
856341	Transmembrane
10989	Transmembrane
53832	Transmembrane
299609	Transmembrane
94192	Transmembrane
2678	Transmembrane
1466434	Transmembrane
387343	Transmembrane
331524	Transmembrane
1145	Transmembrane
ENK3_HUMAN	Transmembrane
499807	Transmembrane
854692	Transmembrane
116745	Transmembrane
BUD26_YEAST	Transmembrane
YD467_YEAST	Transmembrane
227697	Transmembrane
170779	Transmembrane
54831	Transmembrane
303196	Transmembrane
855041	Transmembrane
17968	Transmembrane
219995	Transmembrane
67452	Transmembrane
4122	Transmembrane
10613	Transmembrane
80067	Transmembrane
16195	Transmembrane
140729	Transmembrane
5826	Transmembrane
22785	Transmembrane
369016	Transmembrane
2918	Transmembrane
25590	Transmembrane
56137	Transmembrane
74770	Transmembrane
1824	Transmembrane
856393	Transmembrane
57278	Transmembrane
17705	Transmembrane
67292	Transmembrane
856931	Transmembrane
67470	Transmembrane
283999	Transmembrane
13857	Transmembrane
55714	Transmembrane
80759	Transmembrane
29161	Transmembrane
11990	Transmembrane
1146	Transmembrane
10164	Transmembrane
850536	Transmembrane
14758	Transmembrane
856386	Transmembrane
201799	Transmembrane
20775	Transmembrane
54657	Transmembrane
226564	Transmembrane
93517	Transmembrane
856287	Transmembrane
634	Transmembrane
348932	Transmembrane
252854	Transmembrane
14183	Transmembrane
81752	Transmembrane
360687	Transmembrane
72045	Transmembrane
26301	Transmembrane
853247	Transmembrane
1954	Transmembrane
55379	Transmembrane
81657	Transmembrane
21687	Transmembrane
6403	Transmembrane
233066	Transmembrane
952	Transmembrane
8140	Transmembrane
853218	Transmembrane
255798	Transmembrane
10350	Transmembrane
170743	Transmembrane
11542	Transmembrane
853455	Transmembrane
66477	Transmembrane
10266	Transmembrane
24418	Transmembrane
